pdb_id	n_protein_chains_ge128	min_msa_depth	median_msa_depth	max_msa_depth
9M53	4	6170	6170	6170
9UYI	4	6170	8764	23861
9GL9	3	6170	6170	6170
9UYN	3	6170	8854	23752
8ZI4	3	6172	33705	34649
8ZIV	3	6172	33705	34649
8VUN	8	6173	9555	9632
9UNN	4	6173	6496	6496
8VUT	8	6173	9555	9632
9GI9	1	6177	6177	6177
9FRD	3	6177	6177	6177
9KL4	1	6177	6177	6177
9C1O	6	6184	6184	6184
8YUT	4	6185	28884	45907
8VUJ	4	6188	6521	6534
8VUH	4	6188	6521	6534
9D95	30	6192	6439	8522
9CBL	3	6192	18237	47468
9CBM	3	6192	18237	47468
9IPL	2	6198	6198	6198
9IKA	2	6198	6198	6198
9IKT	6	6198	6198	6198
9OGK	4	6212	6212	6212
9R52	9	6218	10424	21153
9R5I	6	6218	10424	21153
9R6Z	36	6218	10424	21153
9R51	36	6218	10424	21153
9FZR	3	6220	6220	6220
9FZS	3	6220	6220	6220
9JQ1	1	6221	6221	6221
9EBL	4	6223	6223	6223
8RQP	3	6223	6223	6223
9SSQ	1	6228	6228	6228
9IUL	1	6228	6228	6228
9SSP	1	6228	6228	6228
9SSU	1	6228	6228	6228
9SST	1	6228	6228	6228
9SSS	1	6228	6228	6228
9IUK	1	6228	6228	6228
9SSV	1	6228	6228	6228
9SSR	1	6228	6228	6228
9IUM	1	6228	6228	6228
9NB5	3	6230	6230	6230
8ZJ4	3	6236	33705	34649
9JEO	6	6238	6238	6238
8YFP	2	6238	6238	6238
9DJ9	3	6245	6245	6245
8YKD	5	6248	6361	45547
9OS6	1	6252	6252	6252
9OU9	1	6252	6252	6252
9NGP	1	6252	6252	6252
9NIS	1	6252	6252	6252
9MSS	1	6252	6252	6252
9MST	1	6252	6252	6252
9NJN	1	6252	6252	6252
9NM0	1	6252	6252	6252
9NJ7	1	6252	6252	6252
9NHW	1	6252	6252	6252
9DM8	3	6252	6252	6252
9PMZ	1	6252	6252	6252
9Q0S	1	6252	6252	6252
9MSR	1	6252	6252	6252
9HDG	3	6253	6253	6253
9EXJ	3	6253	6253	6253
9K3H	4	6254	16661	43099
9JED	4	6254	8743	47468
8Y63	4	6254	22547	45547
8ZJD	4	6254	21847	46322
9KVG	4	6254	8140	47065
9KVH	4	6254	8140	47065
9M54	4	6254	23386	46296
8Y53	5	6254	19731	46946
8XXV	4	6254	19885	46946
8ZFC	4	6254	18251	37946
9M2F	4	6254	21231	45017
9M1O	4	6254	13835	45017
8ZFA	4	6254	21750	37946
9JHJ	4	6254	22547	45547
9V1H	4	6254	23386	43099
8Y62	4	6254	22547	45547
8Z65	4	6254	18893	37946
9XQC	4	6254	20944	47106
8Z3M	4	6254	18893	46946
9M0R	4	6254	18190	45017
8ZPS	4	6254	11987	43099
8XYD	4	6254	23527	47065
9V0X	4	6254	11987	43099
8Z3Q	4	6254	18893	37946
8ZPT	4	6254	11987	43099
9JMC	4	6254	22941	46946
8Z3Y	4	6254	18893	37946
8Z68	4	6254	22675	37946
9WPM	5	6254	28884	46946
8ZF9	5	6254	13465	37946
9KVI	4	6254	8140	47065
9IV6	4	6254	18893	37946
9JVG	4	6254	18251	37946
9K3L	5	6254	11985	43099
8ZJE	4	6254	22628	46322
9K3F	4	6254	21113	43099
9K3K	5	6254	11985	43099
9K3P	5	6254	11985	43099
8Y51	4	6254	22468	46946
9JMD	4	6254	22941	46946
8ZF6	4	6254	21750	37946
8VHV	1	6255	6255	6255
9H46	1	6257	6257	6257
9H47	1	6257	6257	6257
9H42	1	6257	6257	6257
9MBA	6	6258	8645	9476
9ATV	9	6261	6261	6261
8XOJ	4	6263	24407	46322
8XOG	4	6263	24407	46322
9NWP	4	6263	6263	6263
8XOI	4	6263	24407	46322
8XOH	4	6263	24407	46322
9NWO	4	6263	6263	6263
9D14	3	6265	6265	6265
9D15	3	6265	6265	6265
9D13	3	6265	6265	6265
9QGP	24	6266	7083	7083
9VJ6	4	6267	16899	45547
9YDV	4	6267	23487	47451
9VNF	4	6267	16899	45547
9VJE	4	6267	16899	45547
9VJF	4	6267	16899	45547
9VJ5	4	6267	16899	45547
9VNY	12	6267	16618	45732
9E7R	4	6267	24265	47468
9VO1	4	6267	16618	45732
9VO0	12	6267	16618	45732
9VNZ	12	6267	16618	45732
9D0A	4	6267	11712	47468
9CGJ	4	6267	22001	47451
9YDU	4	6267	23487	47451
9VMY	4	6267	16899	45547
9VJG	4	6267	16899	45547
9CGK	4	6267	22001	47451
8YKX	4	6269	23979	47452
8YKV	4	6269	23979	47452
8YKW	4	6269	23979	47452
8RWN	6	6270	12278	30524
9PQD	3	6273	6273	6273
9PLN	1	6273	6273	6273
9BS1	1	6276	6276	6276
9CIP	2	6276	6276	6276
9KSN	5	6280	6280	6280
8XMK	3	6282	6282	6282
9VD8	1	6282	6282	6282
9IZA	4	6285	24846	47769
9J8Z	4	6285	24300	47769
9IZC	4	6285	24846	47769
9IZD	4	6285	24300	47769
8XXU	4	6287	20421	46946
8Y73	4	6287	22772	46154
9IXX	4	6287	23031	46322
9IYB	4	6287	25185	46946
8Y72	4	6287	22772	46154
9OOO	4	6287	6287	6287
8Y71	4	6287	20683	43099
9S3O	2	6291	6326	6326
9S3X	3	6292	6292	6292
9FF7	12	6293	6293	6293
9OOP	4	6293	6293	6293
9C6D	6	6294	6294	6294
9LL7	4	6294	22538	47452
9JH3	4	6294	13696	47451
9F5Z	10	6298	10721	41154
9B61	24	6300	11359	11359
9MKZ	3	6300	6300	6300
9B63	24	6300	11359	11359
9B67	24	6300	11359	11359
9B5Z	24	6300	11359	11359
9B6A	24	6300	11359	11359
9B60	24	6300	11359	11359
9B69	4	6300	6300	6300
9B64	24	6300	11359	11359
9B68	4	6300	6300	6300
9GB6	18	6303	6303	6303
9LRC	1	6303	6303	6303
9GB8	18	6303	6303	6303
9NLP	2	6304	9511	9511
9IAE	3	6307	6307	6307
9IGY	4	6307	6307	6307
9FEX	15	6310	6310	6310
9FF2	15	6310	6310	6310
9G2E	15	6310	6310	6310
9FEU	15	6310	6310	6310
9FF1	15	6310	6310	6310
9FEY	15	6310	6310	6310
9FEZ	15	6310	6310	6310
9FEW	15	6310	6310	6310
9FEV	15	6310	6310	6310
9G2D	5	6310	6310	6310
9GCU	18	6312	6312	6312
8XZF	4	6316	13696	47468
8XZJ	4	6316	13696	47468
8Z8A	4	6316	23305	46946
9LR1	5	6316	13696	46946
9LR3	4	6316	13696	46946
8Z9P	4	6316	22794	46946
8Z8B	4	6316	23305	46946
9LR2	7	6316	13696	46946
8XZI	4	6316	13696	47468
8ZBW	3	6317	25022	47641
8RJP	6	6320	6320	6320
8RJU	6	6320	6320	6320
8RJQ	7	6320	6320	6320
8RJM	6	6320	6320	6320
8RJR	7	6320	6320	6320
8RJS	6	6320	6320	6320
8RJT	4	6320	6320	6320
9WQU	5	6321	6321	6321
9JH5	5	6324	22699	45554
9JH6	5	6324	22733	45554
9H68	4	6330	6330	6330
8Z5U	79	6330	12008	26143
8Z5X	90	6330	9240	19306
8Z5S	38	6330	9240	24606
8RJO	7	6337	6337	6337
8RJN	6	6337	6337	6337
8Z5H	3	6339	22675	46946
9WX3	2	6346	6346	6346
8RQI	1	6347	6347	6347
9NCU	18	6350	6350	6350
9CUJ	4	6351	6351	6351
8YIC	3	6351	17172	47009
8ZMD	3	6351	11712	46946
9ITB	4	6351	23612	46946
9CUK	5	6351	6351	20158
8ZFM	5	6355	6355	6355
9G8C	6	6355	6355	6355
8ZFK	5	6355	6355	6355
8ZFL	5	6355	6355	6355
9FBU	3	6356	6356	6356
8XJJ	3	6358	6358	6358
9GCX	18	6360	9347	42164
9LKB	3	6361	29439	47452
9JCQ	4	6361	28884	47889
9JCO	4	6361	28884	47889
8YFO	4	6361	25491	43771
8YG4	4	6361	12334	46923
8X9S	3	6361	8256	47065
9IV2	3	6361	8256	47065
9G8D	6	6363	6363	6363
9RN8	6	6363	6363	6363
9GB0	10	6365	6365	6365
9GAZ	7	6365	6365	6365
9YG3	6	6365	6365	6365
9GAY	7	6365	6365	6365
8XGM	5	6370	7694	47452
8YYW	4	6370	24243	47468
9JKY	4	6370	24846	47769
9IQT	4	6370	16378	47474
9JKS	4	6370	24609	47769
9KFT	4	6370	22872	47709
8YYX	4	6370	24243	47468
8XIO	4	6372	22102	46322
9EBH	4	6372	12370	46508
8XIP	4	6372	22102	46322
8XIQ	4	6372	13465	44321
9KO4	4	6372	23394	43771
9VI9	4	6372	23291	47641
9VIF	4	6372	23291	47641
8XIR	4	6372	22095	37946
9M1H	3	6373	21231	46946
9JCP	4	6373	28884	47889
8Y52	3	6373	19731	46946
8RVX	4	6376	6376	6376
9LDZ	3	6376	29506	47468
9LL9	3	6379	22538	47452
9LLB	3	6379	22538	47452
9LLA	3	6379	22538	47452
9AZ8	6	6382	6382	6382
9B07	7	6382	6382	6382
9B2Y	6	6382	6382	6382
8XOF	4	6385	24407	46322
9QUB	6	6391	9070	36479
9QUW	6	6391	9070	36479
9RP2	2	6398	6398	6398
9HHD	3	6403	6403	6403
9HH7	3	6403	6403	6403
9HHC	3	6403	6403	6403
9RP0	2	6405	6405	6405
9RP1	2	6405	6405	6405
9OJL	16	6412	6412	6412
9ER4	2	6414	6414	6414
9F4I	2	6414	6414	6414
9QZT	4	6414	6414	6414
9L3Y	4	6415	12144	47452
9L3W	4	6415	24457	47452
9K1C	3	6415	19687	47452
8VLQ	12	6418	6418	6418
9LL8	3	6418	22538	47452
9IUZ	2	6422	6422	6422
9NB8	6	6423	15094	34451
8YK0	4	6424	10944	47641
9DYD	3	6424	19032	45547
9DYE	3	6424	19032	45547
9H8T	11	6424	9494	41835
9KY1	4	6425	26315	26315
9KXU	2	6425	26315	26315
9KXT	2	6425	26315	26315
9KXW	2	6425	26315	26315
9KY0	4	6425	26315	26315
9KXY	4	6425	26315	26315
9KXZ	4	6425	26315	26315
9KXV	2	6425	26315	26315
9IJ9	3	6430	28872	47065
9EPP	9	6430	22036	47468
9EPQ	9	6430	22036	47468
8Z9X	2	6432	6432	6432
9Y4S	8	6433	6433	6433
9Y9Y	8	6433	6433	6433
9CG3	10	6435	9490	41788
9HZL	12	6435	9490	41788
9EPR	3	6436	11147	47452
9JTZ	3	6437	6437	6437
9JZ1	3	6437	6437	6437
9JZP	3	6437	6437	6437
8RBM	7	6439	8922	12039
8RB9	6	6439	10092	12039
8RB8	6	6439	9370	12039
8RBQ	6	6439	10092	12039
9DBR	2	6441	6441	6441
9D2H	6	6442	6442	6442
9IK9	4	6442	22095	42741
9IK8	4	6442	22095	42741
8RIN	6	6446	6446	6446
9GBE	3	6446	6446	6446
9S2T	3	6448	6448	6448
9AVL	4	6449	10255	46964
9JR0	4	6450	10236	45547
9MB9	4	6450	9476	47009
8Z87	3	6450	23305	46946
9DYF	3	6450	19032	45547
8XZG	3	6450	13696	47468
9L60	3	6451	23655	46154
9LAZ	9	6451	12660	17214
9LAY	9	6451	12660	17214
9LB1	9	6451	12660	17214
9VKF	2	6451	6451	6451
9LB0	9	6451	12660	17214
9J0F	3	6452	23400	37946
9ODK	3	6452	22484	46994
9ODJ	9	6452	22484	46994
9ODL	3	6452	22484	46994
8XOS	4	6452	11362	21524
9B0K	8	6455	19377	19377
9AZ4	8	6455	19377	19377
9B03	8	6455	19377	19377
9L76	2	6461	6461	6461
8XC8	2	6465	6465	6465
8XKD	6	6465	6465	6465
8XGX	6	6465	6465	6465
8ZYU	4	6467	9701	21844
8ZYY	4	6467	9701	21844
8ZYT	4	6467	9701	22185
9M0D	4	6467	9701	22048
9SDI	2	6475	6475	6475
9JRY	2	6476	6476	6476
9OSW	4	6480	6480	6480
9OSY	4	6480	6480	6480
9FNH	15	6485	6485	6485
9FNG	6	6485	6485	6485
9FNF	7	6485	6485	6485
9KO2	3	6488	23394	43771
9DZP	6	6491	6491	6491
8XLZ	6	6491	6491	6491
9DZ3	6	6491	6491	6491
9MD9	6	6491	6491	6491
9DZA	2	6491	6491	6491
8XOC	6	6491	6491	6491
9MEB	6	6491	6491	6491
9JQ0	3	6495	6495	6495
9Q1G	24	6496	6496	6496
8XUE	3	6498	6498	6498
8XIN	3	6498	6498	6498
8XHJ	3	6498	6498	6498
8XQZ	3	6498	6498	6498
8XII	3	6498	6498	6498
8XLY	6	6498	6498	6498
8XUG	1	6498	6498	6498
8XR0	3	6498	6498	6498
8XUC	3	6498	6498	6498
8XLX	3	6498	6498	6498
8XU9	3	6498	6498	6498
8XQY	3	6498	6498	6498
8XLW	3	6498	6498	6498
8XIB	3	6498	6498	6498
9MD1	4	6504	19032	45547
9K29	18	6505	6505	11976
8W0R	2	6507	6507	6507
8W0S	2	6507	6507	6507
8Z0F	2	6508	6508	6508
9IUF	18	6512	6512	6512
9JV8	1	6514	6514	6514
8YWG	1	6520	6520	6520
9FZI	6	6521	6521	6521
9Y0E	3	6523	8916	9935
9Y0A	9	6523	8916	9935
9FXL	12	6526	6526	6526
9FXM	12	6526	6526	6526
9O9W	6	6531	6531	6531
9PIA	4	6545	6545	6545
9HX4	10	6545	6545	6545
8RAH	12	6546	6546	6546
9G66	6	6550	6550	6550
9C4L	3	6550	6550	6550
9QCW	6	6554	6554	6554
8VE5	4	6555	6555	6555
8VE6	4	6555	6555	6555
9QCZ	12	6557	6557	6557
9WSW	3	6557	22567	42996
8RUA	6	6557	6557	6557
9WST	3	6557	8618	42996
9G67	6	6557	6557	6557
8RUD	12	6557	6557	6557
9G68	6	6557	6557	6557
8RUE	12	6558	6558	6558
9QCY	12	6560	6560	6560
9QCU	6	6560	6560	6560
8RUF	12	6561	6561	6561
8RUG	6	6561	6561	6561
9GCB	7	6562	6562	6562
9QCT	12	6566	6566	6566
9M20	1	6568	6568	6568
9M21	3	6568	6568	6568
9MXS	2	6572	6572	6572
9MXQ	2	6572	6572	6572
9MXR	2	6572	6572	6572
9MXT	4	6572	6572	6572
9EQH	3	6578	6578	6578
8XHO	2	6580	6580	6580
9GO9	4	6580	6580	6580
9NWU	12	6586	6586	6586
9C68	4	6592	6592	6592
9IJS	6	6596	6705	8964
9IJR	6	6596	6612	8964
9CJL	12	6598	6598	6598
9CJK	8	6598	6598	6598
8RXU	9	6600	6600	6600
9EVF	6	6600	6600	6600
8RV0	3	6600	6600	6600
9ERQ	8	6600	6600	6600
8RVM	3	6600	6600	6600
9AZ2	16	6602	6602	6602
9BWS	2	6612	6612	6612
8YA7	1	6614	6614	6614
8YA6	1	6614	6614	6614
8YB4	2	6616	6616	6616
8VU9	6	6617	10207	10207
8ZXC	1	6618	6618	6618
9C09	2	6624	6624	6624
9C07	2	6624	6624	6624
8VUM	6	6628	10207	10207
8VUF	4	6628	10207	10207
8W3T	3	6631	6631	6631
9MXB	6	6634	10207	10207
8VUB	6	6634	10207	10207
9IBR	1	6640	6640	6640
9HJ1	2	6643	16218	16218
9HIW	2	6643	16218	16218
9HIU	2	6643	16218	16218
8XOX	3	6648	6648	6648
8YGX	3	6648	6648	6648
9CJ0	3	6648	6648	6648
8V8P	8	6649	6649	6649
9GFE	3	6651	6651	6651
8V8L	2	6651	6651	6651
9GFI	3	6654	6654	6654
9BSN	2	6660	6660	6660
9BYI	2	6660	6660	6660
9LSO	3	6665	6665	6665
9LSN	3	6665	6665	6665
9EID	3	6668	6668	6668
9EIF	6	6668	6668	6668
9EIA	6	6668	6668	6668
9D7Z	12	6670	6670	6747
9BF2	9	6675	6675	6675
9BEZ	3	6675	6675	6675
9BS5	2	6678	6678	6678
9EQ2	7	6682	6764	6764
9HNP	2	6685	6685	6685
9AY2	18	6687	6687	6687
9W1K	4	6688	6688	6688
9W2C	4	6688	6688	6688
9Z5Q	2	6689	20291	20291
9G8K	2	6690	6690	6690
9G8J	4	6690	6690	6690
9LMZ	3	6692	6692	6692
9BF0	9	6693	6693	6693
8Z22	2	6694	6694	6694
9KAO	2	6700	6700	6700
9DVQ	3	6705	23405	23405
9DVR	4	6705	23405	23405
9EFZ	5	6716	6716	6716
9KAH	24	6718	25090	25090
9KAI	3	6718	6718	6718
8VJ7	4	6721	6721	6721
8VJ6	4	6721	6721	6721
9SGQ	6	6722	6722	6722
9SGP	2	6722	6722	6722
9Y48	1	6723	6723	6723
8V8O	2	6724	6724	6724
9SGS	6	6727	6727	6727
9SGT	2	6727	6727	6727
9N0O	2	6728	6728	6728
9SGN	2	6728	6728	6728
9F81	2	6730	6730	6730
9VMM	4	6731	6731	6731
9SGR	6	6734	6734	6734
9SGO	2	6734	6734	6734
8W1W	12	6735	6735	6735
8W1X	2	6735	6758	6758
8W1Y	12	6735	6735	6735
9DAU	2	6735	6735	6735
9D3X	6	6735	6735	6735
9DCA	2	6735	6735	6735
9SGM	2	6737	6737	6737
9SGY	2	6737	6737	6737
9SGL	2	6743	6743	6743
9K4G	7	6745	6745	6745
9RKR	12	6749	6749	6749
9DB2	16	6753	7316	7316
9WWE	3	6754	6754	6754
9WWF	3	6754	6754	6754
9VDW	12	6757	6757	6757
9GA7	1	6758	6758	6758
9GA8	1	6758	6758	6758
9GA6	3	6758	6758	6758
9NDJ	20	6764	23181	29752
8RAG	12	6768	6768	6768
9OH6	4	6773	6773	6773
9LIJ	1	6776	6776	6776
9LIC	1	6776	6776	6776
9BHD	8	6779	6779	6779
8Z2Z	4	6779	6779	6779
8Z7H	8	6779	6779	6779
9BH4	6	6779	6779	6779
9BHG	4	6779	6779	6779
8Z7O	24	6779	6779	6779
9G5X	4	6780	6780	6780
9G6P	5	6780	6780	6780
9GRE	12	6780	6780	6780
9G5S	4	6780	6780	6780
9G5N	4	6780	6780	6780
9G5W	4	6780	6780	6780
9GRD	4	6780	6780	6780
9G6M	5	6780	6780	6780
9G6N	5	6780	6780	6780
9G6O	5	6780	6780	6780
9R46	3	6780	6780	6780
9XEY	3	6780	6780	6780
9R45	3	6780	6780	6780
9G6L	5	6780	6780	6780
9I79	5	6780	6780	6780
9G61	4	6780	6780	6780
9R47	3	6780	6780	6780
9I7L	5	6780	6780	6780
9IZ2	3	6782	6782	6782
9IZ1	4	6782	6782	6782
9B27	8	6785	19377	19377
9LIN	1	6785	6785	6785
9E6H	4	6786	6786	6786
8Y6H	3	6787	9078	9595
8Y6I	3	6787	9078	9595
8YUD	6	6788	6788	6788
9G18	3	6794	6794	6794
9G17	4	6794	6794	6794
9O4X	9	6796	7866	8238
9EO4	1	6802	6802	6802
9QCJ	9	6802	6802	6802
8XUK	3	6803	6803	6803
9CLP	9	6804	9665	9788
8RTT	6	6807	19822	19822
9BY1	4	6808	10312	10312
9BX9	4	6808	10312	10312
9BZ9	4	6808	10312	10312
9BY7	4	6808	10312	10312
9BYX	4	6808	10312	10312
9BZD	4	6808	10312	10312
9BX2	4	6808	10312	10312
9BZO	4	6808	10312	10312
9BZ5	4	6808	10312	10312
9BYZ	4	6808	10312	10312
9BY3	4	6808	10312	10312
9BZI	4	6808	10312	10312
9BXS	4	6808	10312	10312
9PJD	20	6808	26286	26286
9BZH	4	6808	10312	10312
9BXX	4	6808	10312	10312
9BZ6	4	6808	10312	10312
9BYL	4	6808	10312	10312
9BY8	4	6808	10312	10312
9BZM	4	6808	10312	10312
9BXT	4	6808	10312	10312
9BX3	4	6808	10312	10312
9BZJ	4	6808	10312	10312
9BZ2	4	6808	10312	10312
9BY0	4	6808	10312	10312
9BX8	4	6808	10312	10312
9BZE	4	6808	10312	10312
9PIO	20	6808	26286	26286
9BYC	4	6808	10312	10312
9BYD	4	6808	10312	10312
9BZK	4	6808	10312	10312
9BYW	4	6808	10312	10312
9BX6	4	6808	10312	10312
9BYG	4	6808	10312	10312
9BWX	4	6808	10312	10312
9BYH	4	6808	10312	10312
9BY9	4	6808	10312	10312
9BXC	4	6808	10312	10312
9BYV	4	6808	10312	10312
9BY2	4	6808	10312	10312
9BZF	4	6808	10312	10312
9BYT	4	6808	10312	10312
9BW3	4	6808	10312	10312
9BYY	4	6808	10312	10312
9BYA	4	6808	10312	10312
9BZ3	4	6808	10312	10312
9BXZ	4	6808	10312	10312
9BZA	4	6808	10312	10312
9CN0	3	6812	12945	33046
9ASK	2	6815	6815	6815
9ASJ	2	6815	6815	6815
9BPA	4	6815	6815	6815
9BP9	2	6815	6815	6815
9ASL	4	6815	6815	6815
9BH6	4	6817	6817	6817
9BH7	2	6817	6817	6817
8RIS	3	6822	6822	6822
9MFE	6	6822	6822	6822
8ZX0	2	6840	6840	6840
8RDC	6	6846	6846	6846
9VRS	2	6847	6847	6847
9CLE	3	6847	6847	6847
9CL8	3	6847	6847	6847
9CLG	3	6847	6847	6847
9CLF	4	6847	6847	6847
9VRR	2	6847	6847	6847
9AZ1	3	6850	6850	6850
9QQ6	3	6852	15398	15398
8YK3	2	6855	6855	6855
8YQC	1	6855	6855	6855
9CKQ	1	6861	6861	6861
9UZT	1	6866	6866	6866
8VXE	1	6872	6872	6872
9QCI	12	6874	6874	6874
9HB4	8	6879	7128	8452
8XAU	6	6882	6882	6882
9VZR	1	6887	6887	6887
8ZD4	4	6888	7893	7893
9LSY	4	6888	7893	7893
9HU8	6	6889	20781	20781
8XPV	3	6891	6891	6891
9N6G	4	6892	6892	6892
9I1L	6	6892	20846	20846
9KB9	6	6894	7892	11282
9KB7	2	6894	11282	11282
9KB6	1	6894	6894	6894
9KB8	4	6894	7892	11282
9UZ6	2	6897	6897	6897
9C0R	12	6898	29904	29904
9C0Q	4	6898	29904	29904
9BRH	1	6902	6902	6902
9BRM	1	6902	6902	6902
9BRP	1	6902	6902	6902
9CKS	1	6902	6902	6902
9BRG	1	6902	6902	6902
9CKR	1	6902	6902	6902
9BRF	1	6902	6902	6902
9BRN	1	6902	6902	6902
9BRK	1	6902	6902	6902
9BRO	1	6902	6902	6902
9BRL	1	6902	6902	6902
9BRE	1	6902	6902	6902
9BRJ	1	6902	6902	6902
9CKP	1	6902	6902	6902
9BRI	1	6902	6902	6902
9EMA	6	6910	6996	6996
9EMC	6	6910	6996	6996
9UWN	3	6911	6911	6911
9J7B	4	6913	6913	6913
9LKX	2	6913	34330	34330
9J7A	2	6913	6913	6913
9JCE	1	6913	6913	6913
9C7C	4	6914	7303	7303
9C7P	4	6914	7303	7303
9C7E	4	6914	7303	7303
9C7Q	4	6914	7303	7303
9M6K	12	6916	6916	6916
9UWK	3	6918	6918	6918
9UWO	3	6918	6918	6918
9UEQ	2	6921	6921	6921
9L0F	6	6923	6923	6923
9AZQ	8	6925	19377	19377
9C7R	4	6927	7303	7303
8VGM	8	6928	9717	10044
8VGL	8	6928	8881	9859
8W0P	9	6942	6942	29040
8YQA	1	6943	6943	6943
8YP1	4	6950	6950	6950
9FAY	3	6951	6951	6951
9FAL	3	6951	6951	6951
9FA3	3	6951	6951	6951
9FB2	3	6951	6951	6951
9FAD	1	6951	6951	6951
9FDI	3	6951	6951	6951
9FAZ	3	6951	6951	6951
9FA6	3	6951	6951	6951
9OH7	12	6962	6962	6962
8YTK	2	6962	6962	6962
9HPF	2	6964	6964	6964
9HPC	8	6964	6964	6964
9HPE	6	6964	6964	6964
9HPD	6	6964	6964	6964
9HPO	12	6968	7128	7128
9J8C	1	6968	6968	6968
9J8D	1	6968	6968	6968
9J8B	1	6968	6968	6968
9CKO	3	6969	6969	6969
9N54	1	6972	6972	6972
9CFT	1	6972	6972	6972
8VPR	1	6972	6972	6972
9NZ1	1	6972	6972	6972
9YY4	1	6972	6972	6972
9Y7K	1	6972	6972	6972
9PYR	1	6972	6972	6972
9YTZ	1	6972	6972	6972
8VPU	1	6972	6972	6972
9MIK	1	6972	6972	6972
9Y0R	3	6972	6972	6972
9HPK	24	6974	6974	6974
9UWS	3	6978	6978	6978
9UWP	3	6978	6978	6978
9UWU	3	6978	6978	6978
9UWT	1	6978	6978	6978
9MFG	12	6988	6988	6988
9KU6	3	6989	6989	6989
9M0I	3	6989	6989	6989
9IT8	3	6989	6989	6989
8Y9X	3	6989	6989	6989
9JMJ	3	6992	24154	24154
8YQB	1	6993	6993	6993
9HPG	2	6994	6994	6994
9UDD	6	6999	6999	6999
9UDE	6	6999	6999	6999
9UDB	2	6999	6999	6999
9BJX	12	7002	7002	7002
8W23	20	7005	7005	7005
8W25	2	7005	7005	7005
8W28	2	7005	7005	7005
8W27	20	7005	7005	7005
9IFV	6	7009	7009	7009
9QFH	24	7010	7010	7010
9P8S	8	7014	7014	7014
9YON	1	7017	7017	7017
9I2P	2	7019	7019	7019
9O60	3	7025	7154	7154
9SDS	2	7026	7026	7026
9QE3	6	7026	7026	7026
9QEX	6	7026	7026	7026
9QGA	6	7026	7026	7026
9QJ3	6	7026	7026	7026
9QJO	6	7026	7026	7026
9GZH	3	7028	7028	7028
9K1Z	2	7031	17059	17059
9K0N	2	7031	17059	17059
9K21	2	7031	17059	17059
9K1X	2	7031	17059	17059
9K1H	2	7031	17059	17059
9K1V	2	7031	17059	17059
9K0O	2	7031	17059	17059
9K0C	2	7031	17059	17059
9K1I	2	7031	17059	17059
9K1B	2	7031	17059	17059
9K1F	2	7031	17059	17059
9QPX	4	7033	7033	7033
8VKR	204	7034	12873	12873
8XP0	18	7034	12873	12873
8XP1	21	7034	12873	54530
9N4Z	204	7034	12873	12873
8VKQ	204	7034	12873	12873
8YJT	204	7034	12873	12873
8VID	6	7034	12873	12873
9N49	6	7034	12873	12873
8VIB	6	7034	12873	12873
9KFD	2	7037	7037	7037
9C08	4	7039	7039	7039
9UBR	12	7041	17839	17839
9VNE	6	7048	12622	12622
9R4P	1	7053	7053	7053
9P8V	8	7054	7054	7054
9H2S	7	7054	7054	7054
9CUW	3	7062	7062	7062
9CUX	3	7062	7062	7062
9KXX	1	7063	7063	7063
9SP7	4	7066	7066	7066
8XQ2	2	7069	7069	7069
8XQ1	2	7069	7069	7069
9DWS	6	7069	7069	7069
8XQ0	4	7069	7069	7069
8XRR	1	7072	7072	7072
9DX5	6	7073	7073	7073
9DX4	5	7073	7073	7073
9R4S	1	7075	7075	7075
9R4Q	3	7075	7075	7075
9R4L	3	7075	7075	7075
9R4U	3	7075	7075	7075
9R4M	3	7075	7075	7075
8XVR	12	7075	7075	7075
9R4T	3	7075	7075	7075
9R4R	3	7075	7075	7075
9R4N	3	7075	7075	7075
9R4K	3	7075	7075	7075
9EMG	6	7077	7077	7077
8RRZ	3	7079	7079	7079
9IY7	1	7079	7079	7079
8RRQ	3	7079	7079	7079
8RGC	4	7083	7083	7083
8RGB	4	7083	7083	7083
8RG9	4	7083	7083	7083
8RGD	4	7083	7083	7083
8RFX	4	7083	7083	7083
8RFW	4	7083	7083	7083
8RFY	4	7083	7083	7083
8RFV	4	7083	7083	7083
8RG8	4	7083	7083	7083
8ZUV	3	7087	7087	7087
9R4O	3	7091	7091	7091
8ZPR	8	7098	7098	7098
8ZRI	8	7098	7098	7098
8ZPJ	8	7098	7098	7098
9GNX	3	7099	7099	7099
9GNN	2	7099	7099	7099
9GNV	1	7099	7099	7099
9DX3	9	7100	7100	7100
9CYS	6	7111	10042	10042
9NN5	1	7121	7121	7121
8S46	2	7125	7125	7125
9J4C	3	7125	8991	9641
8S49	4	7125	7125	7125
8S48	6	7125	7125	7125
8S4B	6	7125	7125	7125
8S47	4	7125	7125	7125
8S45	6	7125	7125	7125
8S4A	2	7125	7125	7125
8S4C	4	7125	7125	7125
9FYJ	8	7129	7129	7129
8VEK	4	7129	7129	7129
9DAI	1	7130	7130	7130
9MS7	6	7131	7131	7131
8XGY	12	7153	7153	7153
8XGT	12	7153	7153	7153
9IVV	1	7153	7153	7153
9KMB	3	7153	7153	7153
9BT3	8	7160	7160	7160
9BT7	6	7160	7160	7160
9BT6	8	7160	7160	7160
9CCK	12	7164	7164	10548
9KRI	1	7167	7167	7167
9KRH	1	7167	7167	7167
9KR7	1	7167	7167	7167
9IAQ	12	7169	7169	7169
